municipio,admissoes_mes,desligamentos_mes,saldo_mes,variacao_mes,admissoes_ano,desligamentos_ano,saldo_ano,variacao_ano,admissoes_12m,desligamentos_12m,saldo_12m,variacao_12m,competencia
BERNARDINO DE CAMPOS,63,52,11,0.59,620,532,88,4.94,723,718,5,0.27,Setembro/2019
BERTIOGA,241,237,4,0.04,2580,3211,-631,-5.72,4240,4056,184,1.8,Setembro/2019
BIRIGUI,1133,873,260,0.86,10466,10228,238,0.79,12711,13834,-1123,-3.57,Setembro/2019
BIRITIBA-MIRIM,77,74,3,0.1,824,795,29,0.94,1021,1015,6,0.19,Setembro/2019
BOA ESPERANCA DO SUL,84,93,-9,-0.41,925,651,274,14.5,1054,887,167,8.36,Setembro/2019
BOCAINA,72,66,6,0.17,1005,859,146,4.34,1189,1158,31,0.89,Setembro/2019
BOITUVA,638,561,77,0.35,6340,5433,907,4.18,7872,7859,13,0.06,Setembro/2019
BOM JESUS DOS PERDOES,124,104,20,0.42,1327,1240,87,1.85,1666,1625,41,0.86,Setembro/2019
BORBOREMA,130,82,48,1.87,1156,790,366,16.19,1326,1156,170,6.92,Setembro/2019
BOTUCATU,1333,1085,248,0.66,13595,11742,1853,5.13,17984,16379,1605,4.41,Setembro/2019
BRAGANCA PAULISTA,1464,1301,163,0.36,13239,12553,686,1.53,17311,16271,1040,2.33,Setembro/2019
BRODOWSKI,202,135,67,1.38,1876,1636,240,5.13,2311,2153,158,3.32,Setembro/2019
BROTAS,227,193,34,0.47,2285,1961,324,4.65,2843,2697,146,2.04,Setembro/2019
BURI,178,159,19,0.49,1930,1804,126,3.35,2405,2228,177,4.76,Setembro/2019
BURITAMA,69,81,-12,-0.31,1251,943,308,8.75,1451,1660,-209,-5.18,Setembro/2019
CABREUVA,358,478,-120,-0.8,3934,3694,240,1.63,5073,4924,149,1.01,Setembro/2019
CACAPAVA,633,549,84,0.38,5386,4893,493,2.26,7000,6476,524,2.41,Setembro/2019
CACHOEIRA PAULISTA,81,86,-5,-0.11,929,974,-45,-1.0,1116,1321,-205,-4.42,Setembro/2019
CACONDE,38,130,-92,-4.09,809,703,106,5.11,919,891,28,1.3,Setembro/2019
CAFELANDIA,151,112,39,1.1,1340,1109,231,6.85,1633,1504,129,3.72,Setembro/2019
CAIEIRAS,750,742,8,0.04,6345,6080,265,1.41,7765,7730,35,0.18,Setembro/2019
CAJAMAR,1476,1067,409,1.1,11200,10709,491,1.33,14265,14358,-93,-0.25,Setembro/2019
CAJATI,205,200,5,0.08,2231,1789,442,8.04,2723,2284,439,7.98,Setembro/2019
CAJURU,166,164,2,0.04,1758,1500,258,5.35,2145,2193,-48,-0.94,Setembro/2019
CAMPINAS,12522,12091,431,0.11,114547,111170,3377,0.89,148720,145701,3019,0.79,Setembro/2019
CAMPO LIMPO PAULISTA,219,363,-144,-1.29,2111,2464,-353,-3.1,2713,3202,-489,-4.25,Setembro/2019
CAMPOS DO JORDAO,448,464,-16,-0.12,4451,4027,424,3.35,5462,5065,397,3.13,Setembro/2019
CANANEIA,21,13,8,0.8,211,201,10,0.99,255,266,-11,-1.07,Setembro/2019
CANDIDO MOTA,112,137,-25,-0.49,1371,1158,213,4.39,1665,1399,266,5.54,Setembro/2019
